Dataset,Rp (pages),Index,Paper Ratio
syn_g10_l1,1.05,PGM,1.00
syn_g10_l1,1.05,CprLeCo_PGM_D,0.20
syn_g10_l1,1.05,LeCo-ZoneMap,0.11
syn_g10_l1,1.05,LeCo-ZoneMap-D,0.11
syn_g10_l1,5,PGM,1.00
syn_g10_l1,5,CprLeCo_PGM_D,0.51
syn_g10_l1,5,LeCo-ZoneMap,0.39
syn_g10_l1,5,LeCo-ZoneMap-D,0.26
syn_g10_l2,1.05,PGM,1.00
syn_g10_l2,1.05,CprLeCo_PGM_D,0.17
syn_g10_l2,1.05,LeCo-ZoneMap,0.09
syn_g10_l2,1.05,LeCo-ZoneMap-D,0.09
syn_g10_l2,5,PGM,1.00
syn_g10_l2,5,CprLeCo_PGM_D,0.50
syn_g10_l2,5,LeCo-ZoneMap,0.39
syn_g10_l2,5,LeCo-ZoneMap-D,0.25
syn_g10_l4,1.05,PGM,1.00
syn_g10_l4,1.05,CprLeCo_PGM_D,0.09
syn_g10_l4,1.05,LeCo-ZoneMap,0.05
syn_g10_l4,1.05,LeCo-ZoneMap-D,0.05
syn_g10_l4,5,PGM,1.00
syn_g10_l4,5,CprLeCo_PGM_D,0.49
syn_g10_l4,5,LeCo-ZoneMap,0.39
syn_g10_l4,5,LeCo-ZoneMap-D,0.25
syn_g12_l1,1.05,PGM,1.00
syn_g12_l1,1.05,CprLeCo_PGM_D,0.20
syn_g12_l1,1.05,LeCo-ZoneMap,0.11
syn_g12_l1,1.05,LeCo-ZoneMap-D,0.11
syn_g12_l1,5,PGM,1.00
syn_g12_l1,5,CprLeCo_PGM_D,0.36
syn_g12_l1,5,LeCo-ZoneMap,0.34
syn_g12_l1,5,LeCo-ZoneMap-D,0.23
syn_g12_l4,1.05,PGM,1.00
syn_g12_l4,1.05,CprLeCo_PGM_D,0.10
syn_g12_l4,1.05,LeCo-ZoneMap,0.05
syn_g12_l4,1.05,LeCo-ZoneMap-D,0.05
syn_g12_l4,5,PGM,1.00
syn_g12_l4,5,CprLeCo_PGM_D,0.37
syn_g12_l4,5,LeCo-ZoneMap,0.34
syn_g12_l4,5,LeCo-ZoneMap-D,0.22
