Dataset,Rp (pages),Index,Models,Space (MiB),Avg pages,Ratio to PGM
syn_g10_l1,1.05,CprLeCo_PGM_D,750788,3.85317,1.00595,0.196542
syn_g10_l1,1.05,Cpr_PGM,998642,10.4858,1.05841,0.534859
syn_g10_l1,1.05,LeCo-ZoneMap,1001,1.94534,1,0.099228
syn_g10_l1,1.05,LeCo-ZoneMap-D,1001,1.94872,1,0.0994
syn_g10_l1,1.05,PGM,998642,19.6048,1.05878,1
syn_g10_l1,1.05,ZoneMap,781250,5.96046,1,0.304031
syn_g10_l1,5,CprLeCo_PGM_D,49202,0.310595,5,0.161071
syn_g10_l1,5,Cpr_PGM,100000,1.04366,4.99617,0.54123
syn_g10_l1,5,LeCo-ZoneMap,1002,0.404376,5,0.209705
syn_g10_l1,5,LeCo-ZoneMap-D,1002,0.266155,4.99999,0.138025
syn_g10_l1,5,PGM,100000,1.92831,4.99645,1
syn_g10_l1,5,ZoneMap,156250,1.19209,5,0.618205
syn_g10_l2,1.05,CprLeCo_PGM_D,751617,3.85865,1.005,0.096821
syn_g10_l2,1.05,Cpr_PGM,1988386,21.3,1.05887,0.534459
syn_g10_l2,1.05,LeCo-ZoneMap,1001,1.94833,1,0.048887
syn_g10_l2,1.05,LeCo-ZoneMap-D,1001,1.95181,1,0.048975
syn_g10_l2,1.05,PGM,1988386,39.8534,1.05909,1
syn_g10_l2,1.05,ZoneMap,781250,5.96046,1,0.14956
syn_g10_l2,5,CprLeCo_PGM_D,49927,0.314918,5,0.163316
syn_g10_l2,5,Cpr_PGM,100000,1.03153,4.99605,0.534951
syn_g10_l2,5,LeCo-ZoneMap,1002,0.405055,5,0.210061
syn_g10_l2,5,LeCo-ZoneMap-D,1002,0.256207,4.99999,0.132869
syn_g10_l2,5,PGM,100000,1.92827,4.99654,1
syn_g10_l2,5,ZoneMap,156250,1.19209,5,0.618217
syn_g10_l4,1.05,CprLeCo_PGM_D,754770,3.87185,1.00561,0.051373
syn_g10_l4,1.05,Cpr_PGM,3850329,39.8633,1.05854,0.528916
syn_g10_l4,1.05,LeCo-ZoneMap,1001,1.94965,1,0.025868
syn_g10_l4,1.05,LeCo-ZoneMap-D,1001,1.9533,1,0.025917
syn_g10_l4,1.05,PGM,3850329,75.3679,1.05808,1
syn_g10_l4,1.05,ZoneMap,781250,5.96046,1,0.079085
syn_g10_l4,5,CprLeCo_PGM_D,50313,0.314009,5,0.162826
syn_g10_l4,5,Cpr_PGM,100000,1.04378,4.9961,0.541239
syn_g10_l4,5,LeCo-ZoneMap,1002,0.405437,5,0.210234
syn_g10_l4,5,LeCo-ZoneMap-D,1002,0.247807,5,0.128497
syn_g10_l4,5,PGM,100000,1.9285,4.99706,1
syn_g10_l4,5,ZoneMap,156250,1.19209,5,0.618144
syn_g12_l1,1.05,CprLeCo_PGM_D,774298,3.98391,1.00615,0.211401
syn_g12_l1,1.05,Cpr_PGM,958833,10.0856,1.05841,0.535179
syn_g12_l1,1.05,LeCo-ZoneMap,1001,1.96206,1,0.104114
syn_g12_l1,1.05,LeCo-ZoneMap-D,1001,1.9697,1,0.104519
syn_g12_l1,1.05,PGM,958833,18.8453,1.05843,1
syn_g12_l1,1.05,ZoneMap,781250,5.96046,1,0.316284
syn_g12_l1,5,CprLeCo_PGM_D,53593,0.332328,5,0.14362
syn_g12_l1,5,Cpr_PGM,120003,1.24666,4.99599,0.538761
syn_g12_l1,5,LeCo-ZoneMap,1002,0.408947,5,0.176732
syn_g12_l1,5,LeCo-ZoneMap-D,1002,0.27158,4.99999,0.117367
syn_g12_l1,5,PGM,120003,2.31394,4.99561,1
syn_g12_l1,5,ZoneMap,156250,1.19209,5,0.515178
syn_g12_l4,1.05,CprLeCo_PGM_D,762726,3.93463,1.00565,0.052409
syn_g12_l4,1.05,Cpr_PGM,3814775,39.7085,1.05818,0.528916
syn_g12_l4,1.05,LeCo-ZoneMap,1001,1.96737,1,0.026205
syn_g12_l4,1.05,LeCo-ZoneMap-D,1001,1.97501,1,0.026307
syn_g12_l4,1.05,PGM,3814775,75.0752,1.05779,1
syn_g12_l4,1.05,ZoneMap,781250,5.96046,1,0.079393
syn_g12_l4,5,CprLeCo_PGM_D,54511,0.334924,5,0.144739
syn_g12_l4,5,Cpr_PGM,120001,1.24666,4.99605,0.538751
syn_g12_l4,5,LeCo-ZoneMap,1002,0.41,5,0.177184
syn_g12_l4,5,LeCo-ZoneMap-D,1002,0.25349,4.99999,0.109547
syn_g12_l4,5,PGM,120001,2.31398,4.9953,1
syn_g12_l4,5,ZoneMap,156250,1.19209,5,0.515169
